location,source,target,,
glamazer/settings.py:18,English,,,
glamazer/settings.py:19,Bulgarian,,,
glamazer/settings.py:20,Russian,,,
glamazer/settings.py:37,{name} sent you a booking request ,{name} отправил Вам заявку на бронирование,,
glamazer/settings.py:38,{name} accepted your booking request. ,{name} принял Ваше бронирование.,,
glamazer/settings.py:39,{name} declined your booking request. ,{name} отклонил Вашу заявку на бронирование.,,
glamazer/settings.py:40,{name} cancelled your appointment. ,{name} отменил Ваше оговоренное время.,,
glamazer/settings.py:41,{name} cancelled an appointment. ,{name} отменил оговоренное время.,,
glamazer/settings.py:42 glamazer/settings.py:85,We just transferred $ {amount} to your bank account. ,Мы только что перевели $ {amount} на Ваш банковский счет.,,
glamazer/settings.py:43,{name} started following you. ,{name} стал Вашим последователем.,,
glamazer/settings.py:44,{name} added a listing of yours in wishlist. ,{name} добавил Ваше предложение в свой список желаний,,
glamazer/settings.py:45,{name} reviewed your listing. ,{name} просмотрел Ваше предложение.,,
glamazer/settings.py:46,{name} uploaded new listing.,{name} загрузил новое предложение.,,
glamazer/settings.py:47,Congrats! Your listing was approved.,Поздравляем! Ваше предложение одобрено.,,
glamazer/settings.py:48,Your listing was rejected. Try again.,Ваше предложение не одобрено. Попробуйте снова.,,
glamazer/settings.py:49 glamazer/settings.py:70,{name} wants to join your team.,{name} желает присоединиться к Вашей команде.,,
glamazer/settings.py:50 glamazer/settings.py:71,{name} wants to suspend his membership.,{name} желает прекратить свое членство.,,
glamazer/settings.py:51 glamazer/settings.py:72,{name} approved your membership.,{name} одобрил Ваше заявление на членство.,,
glamazer/settings.py:52 glamazer/settings.py:73,{name} declined your membership.,{name} отклонил Ваше заявление на членство.,,
glamazer/settings.py:53 glamazer/settings.py:74,Your suspension request has been approved.,Ваше заявление на прекращение членства одобрено.,,
glamazer/settings.py:54 glamazer/settings.py:75,Your suspension request has been declined.,Ваше заявление на прекращение членства отклонено.,,
glamazer/settings.py:58,"<a href=""/users/profile/{id}"">{name}</a> sent you a booking request for <a href=""/listings/{listing_id}"">{title}</a>. Manage your booking requests from <a href=""/artists/bookings"">here</a> ",<a href=\”/users/profile/{id}\”>{name}</a> отправил Вам заявку на бронирование <a href=\”/listings/{listing_id}\”>{title}</a>. Управляйте заявки на бронирование от <a href=\”/artists/bookings\”>здесь</a>,,
glamazer/settings.py:59,"<a href=""/artists/profile/{id}"">{name}</a> accepted your booking request for <a href=""/listings/{listing_id}"">{title}</a>. View all your appointments <a href=""/users/bookings"">here</a>. ","<a href=\”/artists/profile/{id}\”>{name}</a> принял Вашу заявку на бронирование <a href=\”/listings/{listing_id}\”>{title}</a>. Просмотр всего своего оговоренного количества времени<a href=\""/users/bookings\"">здесь</a>.",,
glamazer/settings.py:60,"<a href=""/artists/profile/{id}"">{name}</a> declined your booking request for <a href=""/listings/{listing_id}"">{title}</a>. Click <a href=""/listings/{listing_id}"">here</a> to schedule appointment for a different hour. ",<a href=\”/artists/profile/{id}\”>{name}</a> отказал в Вашей заявке на бронирование на <a href=\”/listings/{listing_id}\”>{title}</a>. Нажмите здесь <a href=\”/listings/{listing_id}\”>here</a> чтобы заявить другое время.,,
glamazer/settings.py:61,"Bad news! <a href=""/artists/profile/{id}"">{name}</a> cancelled your appointment for <a href=""/listings/{listing_id}"">{title}</a>. Your money will be refunded in 24 hours. As a little compensation from our side, your next booking will be with  discount from the regular price.",,,
glamazer/settings.py:62,"We are sorry to inform you that <a href=""/users/profile/{id}"">{name}</a> cancelled the appointment for <a href=""/listings/{listing_id}"">{title}</a>. Please search again for alternative listings.","К сожалению, уведомляем Вас,что <a href=\”/users/profile/{id}\”>{name}</a> отменил оговоренное Вами время для<a href=\”/listings/{listing_id}\”>{title}</a>. Пожалуйста, поищите альтернативные предложения на сайте.",,
glamazer/settings.py:63,"Hey, <a href=""/artists/profile/{id}"">{name}</a>! Good news! We just transferred $ {amount} to your bank account. View your wallet here. ","Привет, <a href=\""/artists/profile/{id}\"">{name}</a>! Хорошие новости! Мы только что перевели $ {amount} на Ваш банковский счет. Проверьте состояние своего портфеля здесь.",,
